"Date","Transaction","Name","Memo","Amount"
"2025-08-01","DEBIT","DEBIT PURCHASE BP#8890253FAS-T WASHINGTON  MO","Download from usbank.com.9057","-42.41"
"2025-08-04","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-23.78"
"2025-08-04","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-08-04","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-34.00"
"2025-08-04","DEBIT","DEBIT PURCHASE -VISA CKE*TROPICAL SNOWASHINGTON  MO","Download from usbank.com.9057","-18.50"
"2025-08-04","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-14.98"
"2025-08-04","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-08-04","DEBIT","DEBIT PURCHASE WAL-MART #0172  WASHINGTON  MO","Download from usbank.com.9057","-25.05"
"2025-08-04","DEBIT","ELECTRONIC WITHDRAWAL WINDSCRIBE LIMIT","Download from usbank.com.","-69.00"
"2025-08-05","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F7686ST CLAIR    MO","Download from usbank.com.9057","-13.46"
"2025-08-05","DEBIT","DEBIT PURCHASE -VISA DAIRY QUEEN #418WASHINGTON  MO","Download from usbank.com.9057","-13.58"
"2025-08-07","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-3.54"
"2025-08-07","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-15.96"
"2025-08-07","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-28.82"
"2025-08-07","DEBIT","DEBIT PURCHASE -VISA WASHMOFAIR-SFBAAWASHINGTON  MO","Download from usbank.com.9057","-9.00"
"2025-08-08","CREDIT","ELECTRONIC DEPOSIT LOWE'S HOME CENT","Download from usbank.com.","546.88"
"2025-08-08","DEBIT","DEBIT PURCHASE -VISA SPORT CLIPS - MOWASHINGTON  MO","Download from usbank.com.9057","-40.00"
"2025-08-08","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-20.93"
"2025-08-11","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","100.00"
"2025-08-11","DEBIT","DEBIT PURCHASE -VISA STEAK-N-SHAKE#06WASHINGTON  MO","Download from usbank.com.9057","-26.85"
"2025-08-11","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.51"
"2025-08-11","DEBIT","DEBIT PURCHASE -VISA WASHMO FAIR-DRINWASHINGTON  MO","Download from usbank.com.9057","-5.00"
"2025-08-11","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.51"
"2025-08-11","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-08-11","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-44.18"
"2025-08-11","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-14.98"
"2025-08-11","DEBIT","DEBIT PURCHASE -VISA WASHMO FAIR-LUNCWASHINGTON  MO","Download from usbank.com.9057","-25.00"
"2025-08-11","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-08-11","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-08-11","DEBIT","ELECTRONIC WITHDRAWAL HUA PHU QUY","Download from usbank.com.","-15.99"
"2025-08-12","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.51"
"2025-08-12","DEBIT","RECURRING DEBIT PURCHASE PAYPAL *DISCORD 402-935-7733CA","Download from usbank.com.9057","-10.41"
"2025-08-12","DEBIT","RECURRING DEBIT PURCHASE Spotify USA     877-7781161 NY","Download from usbank.com.9057","-5.99"
"2025-08-12","DEBIT","WEB AUTHORIZED PMT DISCOVER","Download from usbank.com.","-89.51"
"2025-08-13","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-14.98"
"2025-08-14","DEBIT","DEBIT PURCHASE -VISA DAIRY QUEEN #418WASHINGTON  MO","Download from usbank.com.9057","-18.25"
"2025-08-15","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.63"
"2025-08-18","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","200.00"
"2025-08-18","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-23.90"
"2025-08-18","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-31.95"
"2025-08-18","DEBIT","DEBIT PURCHASE -VISA STEAK-N-SHAKE#06WASHINGTON  MO","Download from usbank.com.9057","-26.85"
"2025-08-18","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-08-18","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-30.92"
"2025-08-19","DEBIT","DEBIT PURCHASE -VISA LOWES #01648*   WASHINGTON  MO","Download from usbank.com.9057","-58.77"
"2025-08-19","DEBIT","DEBIT PURCHASE WAL-MART #0172  WASHINGTON  MO","Download from usbank.com.9057","-30.87"
"2025-08-19","DEBIT","MONTHLY MAINTENANCE FEE","Download from usbank.com.","-12.00"
"2025-08-19","CREDIT","MONTHLY MAINTENANCE FEE WAIVED","Download from usbank.com.","12.00"
"2025-08-20","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.85"
"2025-08-20","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-08-20","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-08-20","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-11.99"
"2025-08-21","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-26.60"
"2025-08-21","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-23.38"
"2025-08-22","CREDIT","ELECTRONIC DEPOSIT LOWE'S HOME CENT","Download from usbank.com.","570.09"
"2025-08-22","CREDIT","VISA DIRECT CASH APP*E M*CAS","Download from usbank.com.9057","74.67"
"2025-08-22","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-2.99"
"2025-08-22","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-40.59"
"2025-08-22","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-14.97"
"2025-08-25","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","50.00"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-3.54"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-3.65"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-26.60"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA APPLEBEES 8119  WASHINGTON  MO","Download from usbank.com.9057","-79.54"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA STARBUCKS STORE WASHINGTON  MO","Download from usbank.com.9057","-13.28"
"2025-08-25","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-5.20"
"2025-08-25","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-25.01"
"2025-08-25","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-1.73"
"2025-08-25","DEBIT","DEBIT PURCHASE EL MAGUEY       ROLLA       MO","Download from usbank.com.9057","-12.70"
"2025-08-26","DEBIT","DEBIT PURCHASE -VISA PAYPAL *STEAM GA425-952-2985WA","Download from usbank.com.9057","-9.99"
"2025-08-26","DEBIT","DEBIT PURCHASE WAL-MART #0101  ROLLA       MO","Download from usbank.com.9057","-8.36"
"2025-08-26","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-1.00"
