"Date","Transaction","Name","Memo","Amount"
"2025-02-03","DEBIT","DEBIT PURCHASE MICRO ELECTRONICBrentwood   MO","Download from usbank.com.9057","-109.73"
"2025-02-03","DEBIT","DEBIT PURCHASE -VISA STARBUCKS STORE WASHINGTON  MO","Download from usbank.com.9057","-13.28"
"2025-02-03","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-13.65"
"2025-02-03","DEBIT","DEBIT PURCHASE -VISA SPORT CLIPS - MOWASHINGTON  MO","Download from usbank.com.9057","-40.00"
"2025-02-03","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-7.56"
"2025-02-04","DEBIT","DEBIT PURCHASE -VISA ARBYS 1736      ROLLA       MO","Download from usbank.com.9057","-12.59"
"2025-02-05","DEBIT","DEBIT PURCHASE -VISA MO S&T BOOKSTOREROLLA       MO","Download from usbank.com.9057","-32.51"
"2025-02-07","CREDIT","ELECTRONIC DEPOSIT LOWE'S HOME CENT","Download from usbank.com.","57.41"
"2025-02-07","DEBIT","DEBIT PURCHASE -VISA TACO BELL 027912ROLLA       MO","Download from usbank.com.9057","-10.71"
"2025-02-10","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","150.00"
"2025-02-10","CREDIT","DEBIT PURCHASE RETURN MICRO ELE 87 BreBrentwood   MO","Download from usbank.com.9057","109.73"
"2025-02-10","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-4.99"
"2025-02-10","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F3564ROLLA       MO","Download from usbank.com.9057","-12.59"
"2025-02-10","DEBIT","DEBIT PURCHASE -VISA PULQUE MEXICAN RWASHINGTON  MO","Download from usbank.com.9057","-45.91"
"2025-02-10","DEBIT","DEBIT PURCHASE -VISA Dicks Sporting GWashington  MO","Download from usbank.com.9057","-142.46"
"2025-02-10","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F3564ROLLA       MO","Download from usbank.com.9057","-9.44"
"2025-02-12","DEBIT","RECURRING DEBIT PURCHASE PAYPAL *DISCORD 402-935-7733CA","Download from usbank.com.9057","-10.41"
"2025-02-12","DEBIT","RECURRING DEBIT PURCHASE Spotify USA     877-7781161 NY","Download from usbank.com.9057","-5.99"
"2025-02-14","DEBIT","DEBIT PURCHASE SCHNUCKS WASHINGWASHINGTON  MO","Download from usbank.com.9057","-16.33"
"2025-02-14","DEBIT","DEBIT PURCHASE SCHNUCKS WASHINGWASHINGTON  MO","Download from usbank.com.9057","-12.69"
"2025-02-18","DEBIT","DEBIT PURCHASE -VISA TACO BELL 027912ROLLA       MO","Download from usbank.com.9057","-7.46"
"2025-02-18","DEBIT","DEBIT PURCHASE -VISA PULQUE MEXICAN RWASHINGTON  MO","Download from usbank.com.9057","-46.03"
"2025-02-18","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-43.23"
"2025-02-18","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.41"
"2025-02-18","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F1220UNION       MO","Download from usbank.com.9057","-12.47"
"2025-02-18","DEBIT","WEB AUTHORIZED PMT DISCOVER","Download from usbank.com.","-172.19"
"2025-02-19","DEBIT","DEBIT PURCHASE -VISA TACO BELL 027912ROLLA       MO","Download from usbank.com.9057","-10.52"
"2025-02-20","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-11.99"
"2025-02-20","DEBIT","MONTHLY MAINTENANCE FEE","Download from usbank.com.","-6.95"
"2025-02-20","CREDIT","MONTHLY MAINTENANCE FEE WAIVED","Download from usbank.com.","6.95"
"2025-02-21","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","150.00"
"2025-02-21","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-12.98"
"2025-02-24","DEBIT","DEBIT PURCHASE -VISA TACO BELL 027912ROLLA       MO","Download from usbank.com.9057","-10.71"
"2025-02-24","DEBIT","DEBIT PURCHASE -VISA PULQUE MEXICAN RWASHINGTON  MO","Download from usbank.com.9057","-44.36"
