"Date","Transaction","Name","Memo","Amount"
"2025-01-02","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.41"
"2025-01-03","DEBIT","DEBIT PURCHASE -VISA PULQUE MEXICAN RWASHINGTON  MO","Download from usbank.com.9057","-54.12"
"2025-01-03","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-7.56"
"2025-01-06","DEBIT","DEBIT PURCHASE -VISA STARBUCKS STORE WASHINGTON  MO","Download from usbank.com.9057","-13.50"
"2025-01-06","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-14.97"
"2025-01-06","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-9.99"
"2025-01-06","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.41"
"2025-01-06","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-9.98"
"2025-01-10","CREDIT","ELECTRONIC DEPOSIT LOWE'S HOME CENT","Download from usbank.com.","336.80"
"2025-01-10","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-9.98"
"2025-01-13","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.33"
"2025-01-13","DEBIT","RECURRING DEBIT PURCHASE PAYPAL *DISCORD 402-935-7733CA","Download from usbank.com.9057","-10.41"
"2025-01-13","DEBIT","RECURRING DEBIT PURCHASE Spotify USA     877-7781161 NY","Download from usbank.com.9057","-5.99"
"2025-01-13","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-4.99"
"2025-01-13","DEBIT","WEB AUTHORIZED PMT DISCOVER","Download from usbank.com.","-36.85"
"2025-01-14","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-4.99"
"2025-01-16","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-2.72"
"2025-01-16","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.33"
"2025-01-16","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-20.81"
"2025-01-16","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-28.17"
"2025-01-17","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-13.81"
"2025-01-17","DEBIT","DEBIT PURCHASE -VISA PANDA EXPRESS #3WASHINGTON  MO","Download from usbank.com.9057","-13.61"
"2025-01-17","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-40.83"
"2025-01-21","DEBIT","DEBIT PURCHASE -VISA STARBUCKS STORE WASHINGTON  MO","Download from usbank.com.9057","-13.50"
"2025-01-21","DEBIT","DEBIT PURCHASE -VISA PULQUE MEXICAN RWASHINGTON  MO","Download from usbank.com.9057","-50.00"
"2025-01-21","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-7.48"
"2025-01-21","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.33"
"2025-01-21","DEBIT","DEBIT PURCHASE WM SUPERC Wal-MaWASHINGTON  MO","Download from usbank.com.9057","-11.60"
"2025-01-21","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-11.99"
"2025-01-21","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-12.98"
"2025-01-21","DEBIT","MONTHLY MAINTENANCE FEE","Download from usbank.com.","-6.95"
"2025-01-21","CREDIT","MONTHLY MAINTENANCE FEE WAIVED","Download from usbank.com.","6.95"
"2025-01-24","CREDIT","ELECTRONIC DEPOSIT LOWE'S HOME CENT","Download from usbank.com.","234.77"
"2025-01-27","DEBIT","DEBIT PURCHASE -VISA TACO BELL 027912ROLLA       MO","Download from usbank.com.9057","-10.49"
"2025-01-27","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-4.99"
"2025-01-27","DEBIT","DEBIT PURCHASE -VISA DAIRY QUEEN #418WASHINGTON  MO","Download from usbank.com.9057","-13.26"
"2025-01-27","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-14.98"
"2025-01-27","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-4.99"
"2025-01-27","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-9.99"
"2025-01-27","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-19.99"
"2025-01-27","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-4.99"
"2025-01-28","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-4.99"
"2025-01-30","CREDIT","VISA DIRECT CASH APP*E M*CAS","Download from usbank.com.9057","14.74"
"2025-01-31","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-16.57"
"2025-01-31","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-37.42"
