"Date","Transaction","Name","Memo","Amount"
"2025-07-02","DEBIT","DEBIT PURCHASE -VISA STEAK-N-SHAKE#06WASHINGTON  MO","Download from usbank.com.9057","-26.85"
"2025-07-02","DEBIT","DEBIT PURCHASE FIVE BELO 1905 VWASHINGTON  MO","Download from usbank.com.9057","-9.86"
"2025-07-03","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-26.34"
"2025-07-03","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-9.99"
"2025-07-03","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-37.96"
"2025-07-03","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-35.13"
"2025-07-07","DEBIT","DEBIT PURCHASE -VISA PAYPAL *STEAM GA425-952-2985WA","Download from usbank.com.9057","-1.42"
"2025-07-07","DEBIT","DEBIT PURCHASE -VISA PAYPAL *STEAM GA425-952-2985WA","Download from usbank.com.9057","-3.29"
"2025-07-07","DEBIT","DEBIT PURCHASE -VISA PAYPAL *STEAM GA425-952-2985WA","Download from usbank.com.9057","-14.39"
"2025-07-07","DEBIT","DEBIT PURCHASE -VISA DAIRY QUEEN #418WASHINGTON  MO","Download from usbank.com.9057","-7.50"
"2025-07-07","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-23.24"
"2025-07-07","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-07-07","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-10.14"
"2025-07-07","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-07-07","DEBIT","WEB AUTHORIZED PMT DISCOVER","Download from usbank.com.","-55.29"
"2025-07-08","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.51"
"2025-07-08","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-15.96"
"2025-07-08","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-26.76"
"2025-07-09","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-12.21"
"2025-07-10","DEBIT","DEBIT PURCHASE WM SUPERC 1701 AWASHINGTON  MO","Download from usbank.com.9057","-16.48"
"2025-07-11","CREDIT","ELECTRONIC DEPOSIT LOWE'S HOME CENT","Download from usbank.com.","339.71"
"2025-07-11","DEBIT","DEBIT PURCHASE -VISA Subway 5540     Washington  MO","Download from usbank.com.9057","-16.25"
"2025-07-11","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-42.55"
"2025-07-14","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.96"
"2025-07-14","DEBIT","DEBIT PURCHASE -VISA SUSHI KING      WASHINGTON  MO","Download from usbank.com.9057","-44.48"
"2025-07-14","DEBIT","DEBIT PURCHASE WM SUPERC 1701 AWASHINGTON  MO","Download from usbank.com.9057","-6.66"
"2025-07-14","DEBIT","RECURRING DEBIT PURCHASE PAYPAL *DISCORD 402-935-7733CA","Download from usbank.com.9057","-10.41"
"2025-07-14","DEBIT","RECURRING DEBIT PURCHASE Spotify USA     877-7781161 NY","Download from usbank.com.9057","-5.99"
"2025-07-14","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-6.54"
"2025-07-14","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.51"
"2025-07-14","DEBIT","DEBIT PURCHASE -VISA STARBUCKS STORE WASHINGTON  MO","Download from usbank.com.9057","-13.28"
"2025-07-14","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-6.97"
"2025-07-14","DEBIT","DEBIT PURCHASE -VISA FSP*SLZOO - RAILSAINT LOUIS MO","Download from usbank.com.9057","-15.90"
"2025-07-14","DEBIT","DEBIT PURCHASE -VISA PUTTSHACK ST. LO131-26207888MO","Download from usbank.com.9057","-55.84"
"2025-07-15","DEBIT","DEBIT PURCHASE -VISA TST*FORDOS KILLEBOSTON      MO","Download from usbank.com.9057","-38.37"
"2025-07-16","DEBIT","DEBIT PURCHASE -VISA TACO LOCO       WASHINGTON  MO","Download from usbank.com.9057","-18.14"
"2025-07-17","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-07-17","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-10.87"
"2025-07-18","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-9.99"
"2025-07-18","DEBIT","MONTHLY MAINTENANCE FEE","Download from usbank.com.","-12.00"
"2025-07-18","CREDIT","MONTHLY MAINTENANCE FEE WAIVED","Download from usbank.com.","12.00"
"2025-07-21","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","100.00"
"2025-07-21","DEBIT","DEBIT PURCHASE -VISA Subway 5540     Washington  MO","Download from usbank.com.9057","-14.78"
"2025-07-21","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-07-21","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.51"
"2025-07-21","DEBIT","DEBIT PURCHASE LOWE'S #1648    WASHINGTON  MO","Download from usbank.com.9057","-15.24"
"2025-07-21","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-40.33"
"2025-07-21","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-11.99"
"2025-07-22","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-23.46"
"2025-07-22","DEBIT","DEBIT PURCHASE LOWE'S #1648    WASHINGTON  MO","Download from usbank.com.9057","-11.44"
"2025-07-23","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-07-23","DEBIT","DEBIT PURCHASE -VISA TACO LOCO       WASHINGTON  MO","Download from usbank.com.9057","-25.01"
"2025-07-24","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","100.00"
"2025-07-25","CREDIT","ELECTRONIC DEPOSIT LOWE'S HOME CENT","Download from usbank.com.","665.45"
"2025-07-28","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-34.97"
"2025-07-28","DEBIT","DEBIT PURCHASE -VISA STARBUCKS 66505 WASHINGTON  MO","Download from usbank.com.9057","-14.59"
"2025-07-28","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-3.90"
"2025-07-29","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 8967","Download from usbank.com.","100.00"
"2025-07-30","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-07-30","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-3.65"
"2025-07-30","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-17.97"
"2025-07-31","DEBIT","DEBIT PURCHASE WM SUPERC 1701 AWASHINGTON  MO","Download from usbank.com.9057","-27.14"
