"Date","Transaction","Name","Memo","Amount"
"2025-06-02","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 0796","Download from usbank.com.","200.00"
"2025-06-02","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-26.86"
"2025-06-02","DEBIT","DEBIT PURCHASE -VISA CINEMA 1 PLUS   WASHINGTON  MO","Download from usbank.com.9057","-29.39"
"2025-06-02","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-11.96"
"2025-06-02","DEBIT","DEBIT PURCHASE -VISA APPLEBEES 8119  WASHINGTON  MO","Download from usbank.com.9057","-49.42"
"2025-06-02","DEBIT","DEBIT PURCHASE SCHNUCKS WASHINGWASHINGTON  MO","Download from usbank.com.9057","-11.63"
"2025-06-03","DEBIT","DEBIT PURCHASE WM SUPERC 1701 AWASHINGTON  MO","Download from usbank.com.9057","-44.01"
"2025-06-04","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-34.51"
"2025-06-04","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-7.98"
"2025-06-04","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-10.87"
"2025-06-05","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-4.64"
"2025-06-05","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.96"
"2025-06-05","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-12.98"
"2025-06-05","DEBIT","ELECTRONIC WITHDRAWAL SANDBOX INTERACT","Download from usbank.com.","-14.95"
"2025-06-05","DEBIT","DEBIT PURCHASE WM SUPERC 1701 AWASHINGTON  MO","Download from usbank.com.9057","-6.16"
"2025-06-09","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","50.00"
"2025-06-09","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-5.45"
"2025-06-09","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-13.33"
"2025-06-09","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-2.99"
"2025-06-09","DEBIT","DEBIT PURCHASE -VISA TACO LOCO       WASHINGTON  MO","Download from usbank.com.9057","-32.08"
"2025-06-09","DEBIT","DEBIT PURCHASE WM SUPERC 1701 AWASHINGTON  MO","Download from usbank.com.9057","-9.00"
"2025-06-09","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-12.04"
"2025-06-11","DEBIT","DEBIT PURCHASE -VISA CASH APP*E M    Oakland     CA","Download from usbank.com.9057","-31.00"
"2025-06-12","DEBIT","RECURRING DEBIT PURCHASE PAYPAL *DISCORD 402-935-7733CA","Download from usbank.com.9057","-10.41"
"2025-06-12","DEBIT","RECURRING DEBIT PURCHASE Spotify USA     877-7781161 NY","Download from usbank.com.9057","-5.99"
"2025-06-13","CREDIT","ELECTRONIC DEPOSIT LOWE'S HOME CENT","Download from usbank.com.","367.17"
"2025-06-13","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-14.68"
"2025-06-13","DEBIT","DEBIT PURCHASE -VISA CINEMA 1 PLUS   WASHINGTON  MO","Download from usbank.com.9057","-21.23"
"2025-06-16","DEBIT","DEBIT PURCHASE -VISA CINEMA 1 PLUS   WASHINGTON  MO","Download from usbank.com.9057","-29.39"
"2025-06-16","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-34.58"
"2025-06-16","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-41.66"
"2025-06-16","DEBIT","WEB AUTHORIZED PMT DISCOVER","Download from usbank.com.","-80.17"
"2025-06-17","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-6.54"
"2025-06-18","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-06-18","DEBIT","DEBIT PURCHASE -VISA STEAK-N-SHAKE#06WASHINGTON  MO","Download from usbank.com.9057","-24.55"
"2025-06-18","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-7.92"
"2025-06-18","DEBIT","MONTHLY MAINTENANCE FEE","Download from usbank.com.","-12.00"
"2025-06-18","CREDIT","MONTHLY MAINTENANCE FEE WAIVED","Download from usbank.com.","12.00"
"2025-06-20","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","293.00"
"2025-06-20","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-20.05"
"2025-06-20","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.51"
"2025-06-20","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-06-20","DEBIT","DEBIT PURCHASE -VISA CHICK-FIL-A #041BRIDGETON   MO","Download from usbank.com.9057","-36.74"
"2025-06-20","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-11.99"
"2025-06-23","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-06-23","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-5.07"
"2025-06-23","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-2.99"
"2025-06-23","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-1.37"
"2025-06-23","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.51"
"2025-06-23","DEBIT","DEBIT PURCHASE -VISA DAIRY QUEEN #418WASHINGTON  MO","Download from usbank.com.9057","-19.23"
"2025-06-23","DEBIT","ELECTRONIC WITHDRAWAL HIEU VO","Download from usbank.com.","-42.00"
"2025-06-23","DEBIT","DEBIT PURCHASE WM SUPERC 1701 AWASHINGTON  MO","Download from usbank.com.9057","-8.69"
"2025-06-25","DEBIT","DEBIT PURCHASE -VISA STARBUCKS STORE WASHINGTON  MO","Download from usbank.com.9057","-13.28"
"2025-06-25","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-14.99"
"2025-06-25","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-19.98"
"2025-06-26","DEBIT","DEBIT PURCHASE -VISA 365 MARKET K 888TROY        MI","Download from usbank.com.9057","-3.54"
"2025-06-26","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-37.96"
"2025-06-26","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-24.98"
"2025-06-27","CREDIT","ELECTRONIC DEPOSIT LOWE'S HOME CENT","Download from usbank.com.","416.59"
"2025-06-27","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-26.54"
"2025-06-27","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-4.99"
"2025-06-30","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-17.68"
"2025-06-30","DEBIT","DEBIT PURCHASE -VISA STARBUCKS STORE WASHINGTON  MO","Download from usbank.com.9057","-13.28"
"2025-06-30","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-38.93"
"2025-06-30","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-10.11"
