"Date","Transaction","Name","Memo","Amount"
"2025-03-03","DEBIT","DEBIT PURCHASE -VISA TACO BELL 027912ROLLA       MO","Download from usbank.com.9057","-10.60"
"2025-03-03","DEBIT","DEBIT PURCHASE -VISA TACO BELL 027912ROLLA       MO","Download from usbank.com.9057","-10.71"
"2025-03-03","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-9.99"
"2025-03-03","DEBIT","DEBIT PURCHASE -VISA STARBUCKS STORE WASHINGTON  MO","Download from usbank.com.9057","-13.28"
"2025-03-03","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F1220UNION       MO","Download from usbank.com.9057","-10.47"
"2025-03-03","DEBIT","DEBIT PURCHASE -VISA PAYPAL *INTREPID402-935-7733CA","Download from usbank.com.9057","-110.00"
"2025-03-04","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-9.98"
"2025-03-07","CREDIT","ELECTRONIC DEPOSIT LOWE'S HOME CENT","Download from usbank.com.","17.63"
"2025-03-07","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","50.00"
"2025-03-10","DEBIT","DEBIT PURCHASE -VISA TACO BELL 027912ROLLA       MO","Download from usbank.com.9057","-10.60"
"2025-03-10","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-6.97"
"2025-03-10","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-20.08"
"2025-03-10","DEBIT","DEBIT PURCHASE -VISA DAIRY QUEEN #418WASHINGTON  MO","Download from usbank.com.9057","-20.98"
"2025-03-12","DEBIT","RECURRING DEBIT PURCHASE PAYPAL *DISCORD 402-935-7733CA","Download from usbank.com.9057","-10.41"
"2025-03-13","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","500.00"
"2025-03-13","DEBIT","RECURRING DEBIT PURCHASE Spotify USA     877-7781161 NY","Download from usbank.com.9057","-5.99"
"2025-03-17","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-27.15"
"2025-03-17","DEBIT","DEBIT PURCHASE -VISA STARBUCKS STORE WASHINGTON  MO","Download from usbank.com.9057","-13.28"
"2025-03-18","DEBIT","DEBIT PURCHASE -VISA TACO BELL 027912ROLLA       MO","Download from usbank.com.9057","-10.71"
"2025-03-19","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-8.97"
"2025-03-19","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-47.93"
"2025-03-19","DEBIT","MONTHLY MAINTENANCE FEE","Download from usbank.com.","-6.95"
"2025-03-19","CREDIT","MONTHLY MAINTENANCE FEE WAIVED","Download from usbank.com.","6.95"
"2025-03-21","DEBIT","WEB AUTHORIZED PMT PAYPAL","Download from usbank.com.","-11.99"
"2025-03-24","DEBIT","DEBIT PURCHASE -VISA TACO BELL 027912ROLLA       MO","Download from usbank.com.9057","-10.71"
"2025-03-24","DEBIT","DEBIT PURCHASE -VISA TARGET        00WENTZVILLE  MO","Download from usbank.com.9057","-32.90"
"2025-03-24","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-19.97"
"2025-03-24","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-14.98"
"2025-03-24","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-13.46"
"2025-03-24","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-14.97"
"2025-03-24","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-14.25"
"2025-03-24","DEBIT","WEB AUTHORIZED PMT DISCOVER","Download from usbank.com.","-98.12"
"2025-03-25","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","200.00"
"2025-03-25","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-54.98"
"2025-03-25","DEBIT","DEBIT PURCHASE -VISA TACO LOCO       WASHINGTON  MO","Download from usbank.com.9057","-32.51"
"2025-03-26","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","200.00"
"2025-03-26","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-14.98"
"2025-03-26","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-33.57"
"2025-03-26","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-29.97"
"2025-03-27","DEBIT","DEBIT PURCHASE -VISA PANERA BREAD #60WASHINGTON  MO","Download from usbank.com.9057","-29.36"
"2025-03-27","DEBIT","DEBIT PURCHASE -VISA CLARKSON EYECAREWASHINGTON  MO","Download from usbank.com.9057","-188.52"
"2025-03-27","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-4.99"
"2025-03-31","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-22.26"
"2025-03-31","DEBIT","DEBIT PURCHASE -VISA TARGET        00WASHINGTON  MO","Download from usbank.com.9057","-6.39"
"2025-03-31","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-42.60"
