"Date","Transaction","Name","Memo","Amount"
"2025-05-01","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-2.99"
"2025-05-01","DEBIT","ELECTRONIC WITHDRAWAL GAMER2GAMER GLOB","Download from usbank.com.","-21.96"
"2025-05-02","DEBIT","DEBIT PURCHASE -VISA MO S&T HAVENER C573-341-4993MO","Download from usbank.com.9057","-25.00"
"2025-05-05","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","150.00"
"2025-05-05","CREDIT","MOBILE BANKING TRANSFER DEPOSIT 9767","Download from usbank.com.","150.00"
"2025-05-05","DEBIT","DEBIT PURCHASE -VISA PANERA BREAD #60WASHINGTON  MO","Download from usbank.com.9057","-29.03"
"2025-05-05","DEBIT","DEBIT PURCHASE -VISA DAIRY QUEEN #418WASHINGTON  MO","Download from usbank.com.9057","-19.67"
"2025-05-05","DEBIT","DEBIT PURCHASE -VISA STARBUCKS STORE WASHINGTON  MO","Download from usbank.com.9057","-13.28"
"2025-05-05","DEBIT","DEBIT PURCHASE VIOC 050029     WASHINGTON  MO","Download from usbank.com.9057","-68.81"
"2025-05-05","DEBIT","DEBIT PURCHASE -VISA APPLE CASH SENT 1INFINITELOOCA","Download from usbank.com.9057","-36.00"
"2025-05-06","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-21.93"
"2025-05-06","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-2.99"
"2025-05-06","DEBIT","ELECTRONIC WITHDRAWAL SANDBOX INTERACT","Download from usbank.com.","-14.95"
"2025-05-06","DEBIT","ELECTRONIC WITHDRAWAL GAMER2GAMER GLOB","Download from usbank.com.","-23.05"
"2025-05-07","DEBIT","WEB AUTHORIZED PMT DISCOVER","Download from usbank.com.","-75.45"
"2025-05-08","DEBIT","DEBIT PURCHASE -VISA MO S&T HAVENER C573-341-4993MO","Download from usbank.com.9057","-25.00"
