"Date","Transaction","Name","Memo","Amount"
"2024-07-01","CREDIT","ATM DEPOSIT US BANK WASHINGTWASHINGTON  MOUS1","Download from usbank.com.9057","335.00"
"2024-07-01","CREDIT","MOBILE CHECK DEPOSIT","Download from usbank.com.","50.00"
"2024-07-01","CREDIT","MOBILE CHECK DEPOSIT","Download from usbank.com.","50.00"
"2024-07-01","CREDIT","MOBILE CHECK DEPOSIT","Download from usbank.com.","50.00"
"2024-07-01","CREDIT","MOBILE CHECK DEPOSIT","Download from usbank.com.","25.00"
"2024-07-01","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-4.99"
"2024-07-01","DEBIT","DEBIT PURCHASE -VISA COLLEGE TRANSCRIclover.com  VA","Download from usbank.com.9057","-10.00"
"2024-07-01","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  800-275-2273CA","Download from usbank.com.9057","-4.99"
"2024-07-01","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-9.99"
"2024-07-01","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-49.99"
"2024-07-01","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-19.99"
"2024-07-01","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-49.99"
"2024-07-01","DEBIT","DEBIT PURCHASE -VISA MCDONALD'S F4212WASHINGTON  MO","Download from usbank.com.9057","-9.00"
"2024-07-01","DEBIT","DEBIT PURCHASE -VISA Subway 5540     Washington  MO","Download from usbank.com.9057","-16.20"
"2024-07-01","DEBIT","DEBIT PURCHASE Wal-Mart Super CWASHINGTON  MO","Download from usbank.com.9057","-22.81"
"2024-07-01","DEBIT","DEBIT PURCHASE AMOCO#1096100FA WASHINGTON  MO","Download from usbank.com.9057","-46.14"
"2024-07-01","DEBIT","DEBIT PURCHASE -VISA SONIC DRIVE IN #WASHINGTON  MO","Download from usbank.com.9057","-20.95"
"2024-07-03","DEBIT","DEBIT PURCHASE -VISA BURGER KING #159WASHINGTON  MO","Download from usbank.com.9057","-5.98"
"2024-07-05","DEBIT","DEBIT PURCHASE -VISA PAYPAL *STEAM GA4259522985  WA","Download from usbank.com.9057","-3.96"
"2024-07-05","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-10.41"
"2024-07-05","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-4.99"
"2024-07-05","DEBIT","DEBIT PURCHASE -VISA STEAK-N-SHAKE#06WASHINGTON  MO","Download from usbank.com.9057","-34.84"
"2024-07-08","DEBIT","DEBIT PURCHASE -VISA TACO BELL 4241  WASHINGTON  MO","Download from usbank.com.9057","-24.21"
"2024-07-08","DEBIT","DEBIT PURCHASE -VISA LOWES #01648*   WASHINGTON  MO","Download from usbank.com.9057","-52.24"
"2024-07-08","DEBIT","DEBIT PURCHASE -VISA TARGET        00WASHINGTON  MO","Download from usbank.com.9057","-22.57"
"2024-07-08","DEBIT","DEBIT PURCHASE LOWE'S #1648    WASHINGTON  MO","Download from usbank.com.9057","-53.38"
"2024-07-09","CREDIT","DEBIT PURCHASE RET - VISA LOWES #01648*   WASHINGTON  MO","Download from usbank.com.9057","52.24"
"2024-07-09","DEBIT","DEBIT PURCHASE -VISA PAYPAL *STEAM GA4259522985  WA","Download from usbank.com.9057","-9.99"
"2024-07-09","DEBIT","DEBIT PURCHASE -VISA PAYPAL *STEAM GA4259522985  WA","Download from usbank.com.9057","-5.00"
"2024-07-09","DEBIT","DEBIT PURCHASE -VISA STARBUCKS STORE WASHINGTON  MO","Download from usbank.com.9057","-14.64"
"2024-07-09","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-4.99"
"2024-07-09","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-4.99"
"2024-07-09","DEBIT","ELECTRONIC WITHDRAWAL LILITH NETWORK H","Download from usbank.com.","-99.99"
"2024-07-10","DEBIT","DEBIT PURCHASE -VISA LOWES #01648*   WASHINGTON  MO","Download from usbank.com.9057","-133.82"
"2024-07-10","DEBIT","DEBIT PURCHASE -VISA APPLE.COM/BILL  866-712-7753CA","Download from usbank.com.9057","-14.98"
