timestamp,cpu_usage_percent,gpu_usage_percent,memory_percent,disk_read,disk_write,past_cpu,past_gpu,past_memory,future_cpu,future_gpu,future_memory
1763424685.73099,4.7,0,73.5,13659526,1644652,14.8,2.0,73.5,7.4,1,73.2
1763424690.7755764,7.4,1,73.2,13659526,1644675,4.7,0.0,73.5,6.7,0,73.2
1763424695.819667,6.7,0,73.2,13659526,1644751,7.4,1.0,73.2,6.1,2,73.3
1763424700.8632536,6.1,2,73.3,13659526,1644780,6.7,0.0,73.2,7.5,2,73.8
1763424705.910347,7.5,2,73.8,13659541,1644914,6.1,2.0,73.3,7.9,0,73.9
1763424710.9589376,7.9,0,73.9,13659547,1645014,7.5,2.0,73.8,27.3,2,77.3
1763424716.0280538,27.3,2,77.3,13659649,1645208,7.9,0.0,73.9,26.6,2,80.1
1763424721.089656,26.6,2,80.1,13659785,1645380,27.3,2.0,77.3,16.2,1,80.8
1763424726.1517656,16.2,1,80.8,13659841,1645536,26.6,2.0,80.1,9.8,2,81.2
1763424731.199355,9.8,2,81.2,13659872,1645726,16.2,1.0,80.8,13.6,2,81.4
1763424736.2504535,13.6,2,81.4,13659924,1645795,9.8,2.0,81.2,11.6,3,74.7
1763424741.311055,11.6,3,74.7,13659948,1645961,13.6,2.0,81.4,9.0,0,74.9
1763424746.3531435,9.0,0,74.9,13659954,1646113,11.6,3.0,74.7,5.6,1,74.6
1763424751.396729,5.6,1,74.6,13659954,1646181,9.0,0.0,74.9,3.1,0,74.4
1763424756.438818,3.1,0,74.4,13659954,1646231,5.6,1.0,74.6,5.0,0,74.0
1763424761.4904113,5.0,0,74.0,13659954,1646260,3.1,0.0,74.4,4.6,1,74.0
1763424766.537504,4.6,1,74.0,13659966,1646292,5.0,0.0,74.0,4.2,0,73.9
1763424771.5850933,4.2,0,73.9,13659967,1646344,4.6,1.0,74.0,3.7,0,73.4
1763424776.633188,3.7,0,73.4,13659967,1646390,4.2,0.0,73.9,5.8,2,73.6
1763424781.6847816,5.8,2,73.6,13659970,1646431,3.7,0.0,73.4,6.2,1,73.9
1763424786.7358773,6.2,1,73.9,13659973,1646513,5.8,2.0,73.6,8.3,1,74.2
1763424791.7764606,8.3,1,74.2,13660000,1646643,6.2,1.0,73.9,5.4,2,74.2
1763424796.8175485,5.4,2,74.2,13660007,1646730,8.3,1.0,74.2,5.7,0,73.8
1763424801.8691416,5.7,0,73.8,13660010,1646794,5.4,2.0,74.2,4.4,0,73.7
1763424806.918733,4.4,0,73.7,13660010,1646846,5.7,0.0,73.8,12.1,1,73.9
1763424811.9698308,12.1,1,73.9,13660015,1646987,4.4,0.0,73.7,3.1,0,73.7
1763424817.0224252,3.1,0,73.7,13660019,1647070,12.1,1.0,73.9,3.5,0,73.7
1763424822.069518,3.5,0,73.7,13660043,1647185,3.1,0.0,73.7,3.5,0,73.7
1763424827.1251147,3.5,0,73.7,13660044,1647310,3.5,0.0,73.7,3.4,0,73.4
1763424832.1672037,3.4,0,73.4,13660047,1647408,3.5,0.0,73.7,4.6,0,73.4
1763424837.215794,4.6,0,73.4,13660048,1647464,3.4,0.0,73.4,4.0,1,73.4
1763424842.2648904,4.0,1,73.4,13660048,1647495,4.6,0.0,73.4,8.3,2,73.7
1763424847.3194864,8.3,2,73.7,13660050,1647542,4.0,1.0,73.4,9.0,1,74.0
1763424852.3615775,9.0,1,74.0,13660057,1647627,8.3,2.0,73.7,7.1,0,74.2
1763424857.41317,7.1,0,74.2,13660062,1647689,9.0,1.0,74.0,5.6,1,74.2
1763424862.4642692,5.6,1,74.2,13660063,1647749,7.1,0.0,74.2,3.5,1,73.5
1763424867.5128596,3.5,1,73.5,13660063,1647816,5.6,1.0,74.2,2.8,0,73.5
